Tags,Create At,Text
,Thu Apr 01 10:49:30 +0000 2021,"Islamabad: 66 more children test positive for coronavirus in 24 hours

For More Details: https://t.co/1PcUlPe1z0

#ARYNews https://t.co/8jgbDWRp8v"
,Thu Apr 01 10:43:15 +0000 2021,"@elonmusk Dear sir, 
              I am from Pakistan and suffering from too much financial crises. Due to covid times I had the job issue all my savings gone during the period and I am under bank debit as well now bank is asking me for payback and I am penny less."
,Thu Apr 01 10:41:58 +0000 2021,"The provincial government notified a new set of restrictions and standard operating procedures (SOPs) for commercial, business and social activities, imposing a complete ban on indoor and outdoor marriage functions with effect from April 6 in view of the recent surge in Covid-19"
,Thu Apr 01 10:39:27 +0000 2021,@SaeedGhani1 Saeed bhai covid-19 on peak 5000 cases record yesterday i would to request youbpls shut down all schools and colleges atleast 15 days. Are we waiting for any disaster God forbid i know you are much concern regarding students of Karachi and sindh stay blessed.
,Thu Apr 01 10:37:22 +0000 2021,"Coronavirus India Live Updates: Vaccination drive on all days of April, including holidays https://t.co/vpMtFvu2Ke via @IndianExpress 

#officialncoc #ncocpakistan #coronavaccine #vaccination #india #pakistan #islamabad 

Things to learn from neighbors."
,Thu Apr 01 10:36:26 +0000 2021,"@ShaykShack Yes and no. Re-infections might be less severe for some due to immunity from 1st time contraction but covid impact from that 1st time contraction are also long term. If lungs are damaged from that, reinfection is really dangerous."
,Thu Apr 01 10:26:39 +0000 2021,".@Jhagra says decision to cover COVID-19 treatment taken to provide maximum relief to those suffering from the disease.

#GeoNews 

Read more: https://t.co/gfDG96khGR"
COVID19 ARYNews ,Thu Apr 01 10:25:51 +0000 2021,"Pakistan to receive 0.5 mln #COVID19 vaccines tonight: Asad Umar

#ARYNews 

https://t.co/8hdwn7fytM"
,Thu Apr 01 10:20:17 +0000 2021,".@Jhagra says decision to cover COVID-19 treatment taken to provide maximum relief to those suffering from the disease.

#GeoNews 

Read more: https://t.co/gfDG96khGR"
,Thu Apr 01 10:16:30 +0000 2021,If the govt is actually using covid vaccines to track people then they are going to find out that I have an extremely boring life
,Thu Apr 01 10:15:43 +0000 2021,"KARACHI, March 29: Former President @AAliZardari received the first dose of COVID-19 vaccine here today. https://t.co/Pq6nkOoI2v"
,Thu Apr 01 10:15:11 +0000 2021,"According to a report showing statistics from December 22, 2020, to March 30, 2021, 98 passengers who landed at the #Karachi airport from UK, South Africa and other countries tested positive for the COVID-19."
,Thu Apr 01 10:14:32 +0000 2021,"According to a report showing statistics from December 22, 2020, to March 30, 2021, 98 passengers who landed at the #Karachi airport from UK, South Africa and other countries tested positive for the COVID-19."
,Thu Apr 01 10:14:22 +0000 2021,"accine

Searle to prepare COVID-19 vaccine"
,Thu Apr 01 10:11:25 +0000 2021,Download to watch LIVE: https://t.co/9ABVwJmrhl Pakistan to receive 0.5 mln COVID-19 vaccines tonight: Asad Umar #Pak #Live #NEWS #Channel #ARYNewsLiveHD #Pakistan #WorldNews #OZOOTV #Android https://t.co/l3B7uPtBKK https://t.co/TEHolKcduc
,Thu Apr 01 10:07:14 +0000 2021,"The authorities concerned had released many detainees due to the COVID-19 emergency.

 But they did not release a single Shia missing person  !!

#ہمارے_پیارے_کہاں_ہیں 
@tabbyeen"
Covid_19 Journalists FrontLineHeroes VaccinationCovid atCEJ ,Thu Apr 01 10:04:58 +0000 2021,"Have you voted yet? Let us know what you think. 
#Covid_19 #Journalists #FrontLineHeroes #VaccinationCovid #atCEJ #IBAKarachi https://t.co/OfleYjn8T0"
,Thu Apr 01 10:03:15 +0000 2021,".@Jhagra says decision to cover COVID-19 treatment taken to provide maximum relief to those suffering from the disease.

#GeoNews 

Read more: https://t.co/gfDG96khGR"
,Thu Apr 01 10:03:02 +0000 2021,".@Jhagra says decision to cover COVID-19 treatment taken to provide maximum relief to those suffering from the disease.

#GeoNews 

Read more: https://t.co/gfDG96khGR"
,Thu Apr 01 10:01:23 +0000 2021,"CanSinoBIO’s chief scientific officer says a second shot given to trial participants six months after their first injection could offer substantial protection against the virus

https://t.co/yEQGwrKvor"
COVID ARYNews ,Thu Apr 01 10:01:01 +0000 2021,"98 passengers landing at Karachi airport tested #COVID positive

#ARYNews 

https://t.co/ROPS116amS"
COVID19 ARYNews ,Thu Apr 01 09:56:35 +0000 2021,"Pakistan to receive 0.5 mln #COVID19 vaccines tonight: Asad Umar

#ARYNews 

https://t.co/8hdwn7fytM"
COVID19 ARYNews ,Thu Apr 01 09:56:06 +0000 2021,"Pakistan to receive 0.5 mln #COVID19 vaccines tonight: Asad Umar

#ARYNews 

https://t.co/8hdwn7fytM"
,Thu Apr 01 09:55:36 +0000 2021,"Prevention is better thn cure.
If cure not available thn prevention is cure.
Covid vaccine prevents &amp; help eradicate covid from the world. Pls opt it without hesitation. 
I opt it. https://t.co/Ox8VTz8SQe"
,Thu Apr 01 09:54:47 +0000 2021,".@Jhagra says decision to cover COVID-19 treatment taken to provide maximum relief to those suffering from the disease.

#GeoNews 

Read more: https://t.co/gfDG96khGR"
COVID19 ARYNews ,Thu Apr 01 09:53:43 +0000 2021,"Pakistan to receive 0.5 mln #COVID19 vaccines tonight: Asad Umar

#ARYNews 

https://t.co/8hdwn7fytM"
COVID19 ARYNews ,Thu Apr 01 09:52:56 +0000 2021,"Pakistan to receive 0.5 mln #COVID19 vaccines tonight: Asad Umar

#ARYNews 

https://t.co/8hdwn7fytM"
COVID19 ARYNews ,Thu Apr 01 09:52:42 +0000 2021,"Pakistan to receive 0.5 mln #COVID19 vaccines tonight: Asad Umar

#ARYNews 

https://t.co/8hdwn7fytM"
,Thu Apr 01 09:50:09 +0000 2021,"So naive of those who thought that the pandemic will change things for the better. Global  inequality is reflected in the vaccination roll-out, and effects of colonialism and imperialism apparent. Couple this with gross incompetence and its just a disaster https://t.co/nJ1bd47fhY"
,Thu Apr 01 09:46:30 +0000 2021,I am trying to mass protest about the requirement of GRE a) rising cases of Covid and testing centres being filled up because of Fulbright’s deadline as well
,Thu Apr 01 09:46:07 +0000 2021,@MaryamNSharif NAB is waiting you get well to call you if Covid subsides.
,Thu Apr 01 09:40:45 +0000 2021,"Islamabad: 66 more children test positive for coronavirus in 24 hours

For More Details: https://t.co/1PcUlPe1z0

#ARYNews https://t.co/8jgbDWRp8v"
,Thu Apr 01 09:35:02 +0000 2021,".@Jhagra says decision to cover COVID-19 treatment taken to provide maximum relief to those suffering from the disease.

#GeoNews 

Read more: https://t.co/gfDG96khGR"
,Thu Apr 01 09:33:45 +0000 2021,".@Jhagra says decision to cover COVID-19 treatment taken to provide maximum relief to those suffering from the disease.

#GeoNews 

Read more: https://t.co/gfDG96khGR"
,Thu Apr 01 09:18:45 +0000 2021,"The MS of Services hospital Lahore was suspended after 550 COVID-19 vaccine doses ‘disappeared’ from the hospital

Another 350 vaccine doses were spoiled due to improper storage

Punjab CM Usman Buzdar has sought a detailed report on the incident

https://t.co/NtScXLRKKp"
